WarName,WarType,ccode1,Side1,ccode2,Side2,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath,WarNum
Hama,4,652,Syria,,Muslim Brotherhood,1981,1982,,1,6,3000,825
Tigrean and Eritrean,5,530,Ethiopia,,Tigray,1982,1991,,2,4,75000,826
Tigrean and Eritrean,5,530,Ethiopia,,Eritrea,1982,1991,,2,4,75000,826
Shining Path,4,135,Peru,,Shining Path,1982,1992,,1,1,16000,827
Shining Path,4,135,Peru,,TARM,1982,1992,,1,1,16000,827
Contra War,4,93,Nicaragua,,Contras,1982,1990,,6,1,32200,828
Matabeleland,4,552,Zimbabwe,,ZAPU,1983,1987,,1,4,,831
Fourth Burmese,5,775,Burma,,Karen,1983,1988,,1,7,4000,832
Fourth Burmese,5,775,Burma,,Kachin Rebels,1983,1988,,1,7,4000,832
Fourth Lebanese Civil,4,2,United States,,,1983,1984,,2,6,,833
Fourth Lebanese Civil,4,220,France,,,1983,1984,,2,6,,833
Fourth Lebanese Civil,4,660,Lebanon,,Shi'ites,1983,1984,,2,6,,833
Fourth Lebanese Civil,4,660,Lebanon,,Druze,1983,1984,,2,6,,833
First Sri Lanka Tamil,5,750,India,,,1987,1990,,3,7,,835
First Sri Lanka Tamil,5,780,Sri Lanka,,Tamils,1983,2002,,3,7,25500,835
Second South Sudan,4,625,Sudan,,SPLA-Garang faction,1983,1991,,3,6,,836
Indian Golden Temple,5,750,India,,Sikhs,1984,1984,,6,7,,837
First Turkish Kurds,5,640,Turkey,,Kurds,1984,1986,,7,6,10500,838
First Turkish Kurds,5,640,Turkey,,PKK,1984,1986,,7,6,10500,838
Fifth Iraqi  Kurds,5,,,630,Iran,1985,1988,,1,6,,840
Fifth Iraqi  Kurds,5,645,Iraq,,Kurds,1985,1988,,1,6,,840
South Yemen,4,680,Yemen People's Republic,,Leftist Factions,1986,1986,,2,6,13000,842
Holy Spirit Movement,4,500,Uganda,,HSMF,1986,1987,,1,4,7000,843
Second Sri Lanka-JVP,4,780,Sri Lanka,,JVP,1987,1989,,1,7,,845
Inkatha-ANC,7,,Inkatha,,ANC,1987,1994,,6,4,,846
Fifth Burmese,4,775,Burma,,Pro-democracy,1988,1988,,1,7,,847
First Somalia,4,520,Somalia,,rebel clans,1988,1991,,2,4,,848
Fifth Lebanese,4,,,652,Syria,1989,1990,,2,6,,850
Fifth Lebanese,4,660,Lebanon,,militias,1989,1990,,2,6,,850
Second Afghan Mujahideen Uprising,4,700,Afghanistan,,Mujahadin,1989,2001,,4,7,,851
Third Chad (Deby Coup),4,483,Chad,,Deby's MPS,1989,1990,,2,4,3800,852
First Aceh,5,850,Indonesia,,GAM,1989,1991,,1,7,,853
Bougainville Secession,5,910,Papua New Guinea,,BRA,1989,1992,,7,7,,854
Eighth Colombia,5,100,Colombia,,FARC,1989,-7,,5,1,28161,856
Eighth Colombia,5,100,Colombia,,Drug Lords,1989,-7,,5,1,28161,856
First Cambodian Civil War,4,811,Cambodia,,Khmer Rouge,1989,1991,,3,7,,857
First Cambodian Civil War,4,811,Cambodia,,KPNFL,1989,1991,,3,7,,857
Romania,4,360,Romania,,Anti-Ceaucescu Rebels,1989,1989,,2,2,1000,858
First Liberia,4,450,Liberia,,NPFL,1989,1990,,7,4,,860
First Liberia,4,475,Nigeria,,,1990,1990,,7,4,,860
Kashmir Insurgents,5,750,India,,Kashmiri Guerillas,1990,2005,,7,7,27700,861
Shiite and Kurdish,5,645,Iraq,,Shiites,1991,1991,,1,6,,862
Shiite and Kurdish,5,645,Iraq,,Kurds,1991,1991,,1,6,,862
First Sierra Leone,4,451,Sierra Leone,,RUF,1991,1996,,1,4,,863
Croatian Independence,5,345,Yugoslavia,,Croatia,1991,1992,,2,2,,864
Croatian Independence,5,345,Serbia,,Croatia,1991,1992,,2,2,,864
Second Turkish Kurds,5,640,Turkey,,Kurds,1991,1999,,6,6,16500,865
Second Turkish Kurds,5,640,Turkey,,PKK,1991,1999,,6,6,16500,865
The SPLA Division (Dinka-Nuer) War,7,,Garang faction,,Nuer faction,1991,1992,,7,4,,866
Jukun-Tiv War,7,,Jukun,,Tiv,1991,1992,,6,4,,868
Second Somalia,4,475,Nigeria,,,1992,1995,,3,4,,870
Second Somalia,4,520,Somalia,,Aideed Faction,1991,1997,,3,4,,870
Second Somalia,4,770,Pakistan,,,1992,1995,,3,4,,870
Second Somalia,4,900,Australia,,,1992,1995,,3,4,,870
Second Somalia,4,220,France,,,1992,1995,,3,4,,870
Second Somalia,4,2,United States of America,,,1992,1994,,3,4,,870
Second Somalia,4,325,Italy,,,1992,1995,,3,4,,870
Georgia,4,372,Georgia,,Reform,1991,1992,,2,2,,871
Nagorno-Karabakh,5,,,371,Armenia,1991,1993,,4,2,,872
Nagorno-Karabakh,5,373,Azerbaijan,,Nagorno-Karabakh,1991,1993,,4,2,10000,872
Dniestrian Independence,5,359,Moldova,,Dniestria,1991,1992,,3,2,,873
Algerian Islamic Front,4,615,Algeria,,Islamic Front,1992,1999,,3,6,,875
Tajikistan,4,365,Russia,,,1993,1997,,3,7,,876
Tajikistan,4,702,Tadzhikistan,,United Tajik Opposition,1992,1997,,3,7,,876
Bosnian-Serb Rebellion,5,346,Bosnia,,Bosnian Serbs,1992,1994,,1,2,46043,877
Bosnian-Serb Rebellion,5,2,United States,,,1995,1995,,1,2,,877
Bosnian-Serb Rebellion,5,,,344,Croatia,1994,1994,,1,2,,877
Bosnian-Serb Rebellion,5,344,Croatia,,,1992,1994,,1,2,,877
Second Liberia,4,450,Liberia,,NPFL,1992,1995,,3,4,,878
Second Liberia,4,450,Liberia,,ULIMO,1992,1995,,3,4,,878
Second Liberia,4,475,Nigeria,,,1992,1992,,3,4,,878
Angolan War of the Cities,4,540,Angola,,UNITA,1992,1994,,3,4,,880
Second Cambodia Civil,4,811,Cambodia,,Khmer Rouge,1993,1997,,1,7,,881
Abkhazia Revolt,5,372,Georgia,,Abkhazia,1993,1994,,2,2,8000,882
Second Burundi,4,516,Burundi,,Tutsi army,1993,1998,,7,4,,883
South Yemeni Secessionist,5,679,Yemen,,South Yemen,1994,1994,,1,6,,885
Second Rwanda,4,517,Rwanda,,Patriotic Front,1994,1994,,2,4,,886
First Chechnya,5,365,Russia,,Chechnya,1994,1996,,2,2,10000,888
Iraqi Kurd Internecine,7,,PUK,,KDP,1994,1995,,6,6,,890
Croatia-Krajina War,5,344,Croatia,,Krajinia Serbs,1995,1995,,1,2,,891
Third Liberia,4,450,Liberia,,NPFL,1996,1996,,3,4,,892
Sixth Iraqi Kurds,5,645,Iraq,,PUK,1996,1996,,6,6,,893
Fifth DRC,4,,,500,Uganda,1997,1997,,2,4,,895
Fifth DRC,4,,,517,Rwanda,1997,1997,,2,4,,895
Fifth DRC,4,,,540,Angola,1997,1997,,2,4,,895
Fifth DRC,4,490,DRC,,ADFL,1996,1997,,2,4,,895
Third Rwanda,4,517,Rwanda,,Hutu rebels,1997,1998,,1,4,3300,896
First Congo (Brazzaville),4,,,540,Angola,1997,1997,,2,4,,897
First Congo (Brazzaville),4,484,Congo,,FDU,1997,1997,,2,4,,897
Second Sierra Leone,4,451,Sierra Leone,,Kabbah faction,1998,1999,,2,4,,898
Second Sierra Leone,4,,,452,Ghana,1998,1999,,2,4,,898
Second Sierra Leone,4,,,475,Nigeria,1998,1999,,2,4,,898
Second Sierra Leone,4,,,438,Guinea,1998,1999,,2,4,,898
Second Sierra Leone,4,,,200,United Kingdom,2000,2000,,2,4,,898
Kosovo Independence,5,345,Yugoslavia,,KLA,1998,1999,,4,2,1200,900
Guinea-Bissau Military,4,438,Guinea,,,1998,1998,,2,4,,902
Guinea-Bissau Military,4,404,Guinea-Bissau,,Man?Junta,1998,1999,,2,4,,902
Guinea-Bissau Military,4,433,Senegal,,,1998,1998,,2,4,,902
Africa's World War,4,540,Angola,,,1998,2002,,3,4,,905
Africa's World War,4,625,Sudan,,,1998,2002,,3,4,,905
Africa's World War,4,565,Namibia,,,1998,2001,,3,4,,905
Africa's World War,4,552,Zimbabwe,,,1998,2002,,3,4,,905
Africa's World War,4,,,517,Rwanda,1998,2002,,3,4,,905
Africa's World War,4,,,516,Burundi,1998,2002,,3,4,,905
Africa's World War,4,,,500,Uganda,1998,2002,,3,4,,905
Africa's World War,4,483,Chad,,,1998,1999,,3,4,,905
Africa's World War,4,490,Democratic Republic of Congo,,RCD,1998,2002,,3,4,,905
Africa's World War,4,490,Democratic Republic of Congo,,MLC,1998,2002,,3,4,,905
Fourth Chad (Togoimi Revolt),4,483,Chad,,MDD,1998,2000,,7,4,,906
Fourth Chad (Togoimi Revolt),4,483,Chad,,MDJT,1998,2000,,7,4,,906
Third Angolan,4,540,Angola,,UNITA,1998,2002,,1,4,,907
Second Congo (Brazzaville),4,484,Congo,,Ninjas and Cocoye militias,1998,1999,,1,4,,908
Moluccas Sectarian,7,,Laskar Jihad,,FKM,1999,2000,,7,7,,910
Moluccas Sectarian,7,,Laskar Jihad,,RMS,1999,2000,,7,7,,910
First Nigeria Christian-Muslim,7,,Christian Tarok,,Muslim Fulani,1999,2000,,1,4,,911
Second Aceh,5,850,Indonesia,,GAM,1999,2002,,3,7,3830,912
Oromo Liberation,5,530,Ethiopia,,Oromo Lib. Front,1999,1999,,1,4,1000,913
Second Chechen,5,365,Russia,,Chechnya,1999,2003,,1,2,20000,915
Second Philippine-Moro,5,840,Philippines,,MILF,2000,2001,,3,7,,916
Guinean,4,438,Guinea,,RDFG,2000,2001,,6,4,,917
Third Burundi,4,516,Burundi,,FNL,2001,2003,,3,4,3150,918
Third Burundi,4,516,Burundi,,FROLINA,2001,2003,,3,4,3150,918
Fourth Rwanda,4,517,Rwanda,,Army for the Liberation of Rwanda,2001,2001,,1,4,,920
First Nepal Maoist Insurgency,4,790,Nepal,,CPN,2001,2003,,6,7,3780,921
Fourth Liberian,4,450,Liberia,,LURD,2002,2003,,2,4,,922
Fourth Liberian,4,450,Liberia,,MODEL,2002,2003,,2,4,,922
Ethiopian Anyuaa-Nuer,7,,Anyuaa,,Nuer,2002,2003,,7,4,,923
Cote d'Ivoire Military,4,220,France,,,2002,2004,,2,4,,925
Cote d'Ivoire Military,4,437,Cote d'Ivoire,,MPCI,2002,2004,,2,4,2700,925
Cote d'Ivoire Military,4,437,Cote d'Ivoire,,MPIGO,2002,2004,,2,4,2700,925
Cote d'Ivoire Military,4,437,Cote d'Ivoire,,MJP,2002,2004,,2,4,2700,925
Third Philippine-Moro,5,840,Phillippines,,MILF,2003,2003,,7,7,1000,926
Third Philippine-Moro,5,840,Phillippines,,ASG,2003,2003,,7,7,1000,926
Darfur,5,625,Sudan,,SLA,2003,2006,,6,6,,927
Darfur,5,625,Sudan,,JEM,2003,2006,,6,6,,927
Third Aceh,5,850,Indonesia,,GAM,2003,2003,,1,7,1550,930
Second Nepal Maoists,4,790,Nepal,,CPN,2003,2006,,3,7,7030,931
Waziristan,5,2,United States,,,2004,2006,,2,7,,932
Waziristan,5,770,Pakistan,,Waziri tribes,2004,2006,,2,7,3000,932
Second Nigeria Christian-Muslim,7,,Christian Tarok,,Muslim Fulani,2004,2004,,6,4,,933
First Yemeni Cleric,4,679,Yemen,,Zaidi Muslims,2004,2005,,1,6,2250,935
Philippine Joint Offensive,5,840,Phillippines,,MILF,2005,2006,,7,7,2823,936
Philippine Joint Offensive,5,840,Phillippines,,NPA,2005,2006,,7,7,2823,936
Fifth Chad,4,483,Chad,,FUDC,2005,2006,,1,4,1100,937
Third Somalia,4,2,United States,,,2007,2007,,1,4,,938
Third Somalia,4,520,Somalia,,SCIC,2006,2008,,1,4,,938
Third Somalia,4,530,Ethiopia,,,2006,2008,,1,4,,938
Third Somalia,4,,,531,Eritrea,2006,2008,,1,4,,938
Second Sri Lanka Tamil,5,780,Sri Lanka,,LTTE,2006,-7,,5,7,,940
Second Yemeni Cleric,4,679,Yemen,,Zaidi Muslims,2007,2007,,6,6,3500,941
